"Estación";"Paraje";"Municipio";"Tmed <br> (ºC)";"Tmax <br> (ºC)";"Tmin <br> (ºC)";"Tmaxabs <br> (ºC)";"Tminabs <br> (ºC)";"Hrmed <br> (%)";"Hrmax <br> (%)";"Hrmin <br> (%)";"Hrmaxabs <br> (%)";"Hrminabs <br> (%)";"Rviento <br> (Km/día)";"Prec <br> (mm)";"Radmed <br> (w/m2)";"Eto <br> (mm)";"Hsol <br> (horas)";"Precmax <br> (mm)";"Vvmed <br> (m/seg)";"Vvmax <br> (m/seg)";"Dvmed <br>  (º)";"Eti."
"CI71";"Llano De Las Olivericas";"Calasparra";"26,80";"32,90";"20,90";"33,70";"20,40";"72,10";"96,70";"45,50";"97,40";"43,40";"86,90";"0,00";"252,80";"4,70";"11,00";"0,00";"1,00";"6,60";"82,90";"E"
"CR12";"Barranda";"Caravaca";"22,10";"29,00";"15,50";"29,40";"14,80";"67,80";"81,60";"46,90";"82,60";"45,00";"116,50";"0,00";"270,10";"4,70";"11,00";"0,00";"1,40";"6,20";"144,00";"SE"
"CR32";"El Chaparral";"Cehegín";"24,70";"31,70";"16,90";"32,20";"16,50";"68,10";"91,10";"42,20";"91,60";"39,80";"114,80";"0,00";"246,40";"4,70";"11,00";"0,00";"1,30";"8,40";"141,30";"SE"
"CR42";"Venta Ulea";"Moratalla";"25,60";"32,50";"18,60";"32,90";"18,10";"70,30";"92,20";"44,90";"93,30";"43,00";"166,60";"0,00";"261,80";"5,20";"11,00";"0,00";"1,90";"7,40";"132,20";"SE"
"CR52";"La Torrecica";"Cehegín";"25,30";"31,90";"18,10";"32,50";"17,60";"65,30";"89,60";"41,50";"90,10";"38,50";"78,60";"0,00";"283,80";"4,90";"11,00";"0,00";"0,90";"6,30";"128,50";"SE"
"CR61";"Casas Del Rey";"Moratalla";"23,30";"29,30";"19,30";"30,30";"18,60";"71,00";"96,10";"54,00";"98,50";"53,20";"114,50";"0,00";"-";"-";"-";"0,00";"1,30";"5,40";"-";"-"
"JU12";"Cª Del Judio";"Jumilla";"26,00";"31,90";"20,90";"32,30";"20,50";"68,10";"90,60";"43,80";"91,30";"42,20";"41,30";"0,00";"263,60";"4,40";"11,00";"0,00";"0,50";"8,50";"172,30";"S"
"JU42";"Las Moratillas";"Yecla";"23,90";"31,10";"17,70";"31,50";"17,30";"74,50";"97,10";"44,80";"98,00";"43,40";"66,90";"0,00";"215,40";"3,90";"8,00";"0,00";"0,80";"4,10";"112,40";"E"
"JU52";"Pinillos";"Yecla";"24,30";"31,60";"17,40";"32,80";"17,00";"70,60";"92,70";"42,40";"93,10";"36,50";"67,00";"0,00";"265,70";"4,50";"12,00";"0,00";"0,80";"11,20";"102,60";"E"
"JU62";"Miraflores";"Jumilla";"25,40";"32,20";"19,00";"33,20";"18,30";"71,40";"95,40";"44,40";"96,30";"41,60";"110,60";"0,00";"270,30";"5,00";"11,00";"0,00";"1,30";"6,50";"149,40";"SE"
